District,Season,CropCategory,Crop,Year,Extent,Production,Yield_t_ha,Yield_IQR_Flag,AnchorMonth,AnchorDate,ForecastDate,WeatherWindowStart,WeatherWindowEnd,Rainfall_3M_mm,TempMean_3M_C,WindSpeed_3M_kmh,SolarRadiation_3M_MJ_m2,ET0_3M_mm,WeatherDays_3M,Leakage_Check,Weather_Completeness_OK,PrevMonthWholesalePrice_RsKg,NextMonthWholesalePrice_RsKg
National Total,Yala,Low Country Vegetable,Snake Gourd,2023,1085.5,12391.6,11.41556886227545,False,4,2023-04-01,2023-04-01,2023-01-01,2023-03-31,322.77777777777777,24.415390946502058,15.564444444444444,20.30167489711934,375.3025925925926,90,True,True,135.25,257.96363636
National Total,Maha,Low Country Vegetable,Snake Gourd,2023,1352.8,14786.6,10.930366646954466,False,9,2023-09-01,2023-09-01,2023-06-01,2023-08-31,310.97777777777776,27.081119162640903,20.28341384863124,20.70217391304348,445.98481481481485,92,True,True,132.75,215.6
National Total,Yala,Up Country Vegetable,Tomatoes,2012,3304.0,34911.0,10.56628329297821,False,4,2012-04-01,2012-04-01,2012-01-01,2012-03-31,192.81481481481484,24.95641025641025,12.757427757427756,20.49129019129019,391.8188888888889,91,True,True,15.99,109.4425
National Total,Maha,Up Country Vegetable,Tomatoes,2012,4612.0,47339.0,10.264310494362531,False,9,2012-09-01,2012-09-01,2012-06-01,2012-08-31,271.4518518518518,26.73909017713365,21.219847020933976,19.93822463768116,436.74740740740737,92,True,True,47.6925,27.598000000000003
National Total,Yala,Up Country Vegetable,Tomatoes,2013,3213.0,36365.0,11.318082788671024,False,4,2013-04-01,2013-04-01,2013-01-01,2013-03-31,479.52592592592606,24.79600823045267,13.010246913580248,18.615028806584363,349.47962962962964,90,True,True,56.125,45.0275
National Total,Maha,Up Country Vegetable,Tomatoes,2013,4046.0,49861.0,12.323529411764708,False,9,2013-09-01,2013-09-01,2013-06-01,2013-08-31,378.27777777777777,26.0592190016103,20.98921095008052,19.044879227053144,398.4211111111111,92,True,True,37.375,52.8575
National Total,Yala,Up Country Vegetable,Tomatoes,2014,3130.0,32464.0,10.37188498402556,False,4,2014-04-01,2014-04-01,2014-01-01,2014-03-31,184.15185185185183,25.0727572016461,14.82559670781893,20.222942386831274,394.5177777777778,90,True,True,36.166,111.0425
National Total,Maha,Up Country Vegetable,Tomatoes,2014,4202.0,53708.0,12.781532603522132,False,9,2014-09-01,2014-09-01,2014-06-01,2014-08-31,278.4000000000001,26.76694847020934,21.32246376811594,19.86382045088567,429.4092592592592,92,True,True,33.8875,85.795
National Total,Yala,Up Country Vegetable,Tomatoes,2015,2868.0,30228.0,10.539748953974897,False,4,2015-04-01,2015-04-01,2015-01-01,2015-03-31,210.2703703703704,24.861152263374485,12.927777777777775,20.35349794238683,382.60925925925926,90,True,True,55.776,31.0825
National Total,Maha,Up Country Vegetable,Tomatoes,2015,3701.0,49325.0,13.32747905971359,False,9,2015-09-01,2015-09-01,2015-06-01,2015-08-31,302.1962962962963,26.68128019323672,20.14830917874396,20.037846215780995,419.2903703703704,92,True,True,38.892,74.0525
National Total,Yala,Up Country Vegetable,Tomatoes,2016,2783.0,32286.0,11.60114983830399,False,4,2016-04-01,2016-04-01,2016-01-01,2016-03-31,103.57407407407408,26.05075295075295,13.816646316646317,20.77905982905984,412.6448148148148,91,True,True,33.5525,139.336
National Total,Maha,Up Country Vegetable,Tomatoes,2016,3437.0,60462.0,17.59150421879546,False,9,2016-09-01,2016-09-01,2016-06-01,2016-08-31,265.61481481481485,26.633494363929145,20.95998389694042,19.82029388083736,416.3766666666666,92,True,True,32.374,43.832
National Total,Yala,Up Country Vegetable,Tomatoes,2017,2464.0,43159.0,17.51582792207792,False,4,2017-04-01,2017-04-01,2017-01-01,2017-03-31,313.99999999999994,24.675596707818933,15.267901234567905,20.136897119341565,381.8151851851852,90,True,True,87.18749999999997,75.3690476190476
National Total,Maha,Up Country Vegetable,Tomatoes,2017,2866.0,37680.0,13.147243545010468,False,9,2017-09-01,2017-09-01,2017-06-01,2017-08-31,394.8037037037038,26.89971819645732,20.743679549114336,18.80973027375201,408.6885185185185,92,True,True,106.35416665833333,131.47435894666663
